City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,parauapebas,-6.0675,-49.9022,30.99,74,40,0.0,BR,1706721741
333,hithadhoo,-0.6,73.0833,27.98,77,25,3.7,MV,1706721236
334,carora,10.1755,-70.0827,32.64,40,42,1.07,VE,1706721742
335,tianshui,34.5439,105.6897,-1.99,92,46,0.86,CN,1706721742
336,tralee,52.2704,-9.7026,9.14,93,100,4.63,IE,1706721743
337,port blair,11.6667,92.75,26.02,89,20,1.03,IN,1706721743
338,kruisfontein,-34.0033,24.7314,27.48,57,100,2.12,ZA,1706721477
339,khandyga,62.6667,135.6,-36.41,98,100,0.92,RU,1706721744
340,kribi,2.95,9.9167,28.69,75,61,5.07,CM,1706721745
341,cassino,41.4876,13.8315,10.55,60,88,1.79,IT,1706721745
342,marka,1.7159,44.7717,26.35,86,100,6.55,SO,1706721745
343,revelstoke,50.9832,-118.2023,1.01,100,100,1.54,CA,1706721620
344,mae ramat,16.984,98.5166,22.11,76,0,0.79,TH,1706721747
345,lata,40.1629,-8.3327,16.01,65,79,1.34,PT,1706721747
346,juneau,58.3019,-134.4197,-1.0,97,100,0.0,US,1706721677
347,eastham,41.8301,-69.9739,1.1,64,100,0.45,US,1706721748
348,bandar lampung,-5.4254,105.258,23.93,94,99,2.2,ID,1706721749
349,yeniseysk,58.4497,92.1703,-24.47,97,80,1.79,RU,1706721749
350,klyuchi,52.2667,79.1667,-8.91,95,66,3.92,RU,1706721267
351,antofagasta,-23.65,-70.4,23.6,65,8,4.06,CL,1706721750
352,weno,7.4515,151.8468,27.97,74,75,4.63,FM,1706721293
353,karasburg,-28.0167,18.75,34.96,15,81,3.43,NA,1706721751
354,monrovia,6.3005,-10.7969,29.02,71,92,5.23,LR,1706721520
355,petropavlovsk-kamchatsky,53.0452,158.6483,-16.97,73,0,5.0,RU,1706721752
356,norak,38.3892,69.3227,0.84,89,95,2.07,TJ,1706721752
357,mirny,62.5353,113.9611,-33.16,100,60,1.17,RU,1706721753
358,quepos,9.4236,-84.1652,30.94,47,23,2.71,CR,1706721753
359,novyy urengoy,66.0833,76.6333,-25.42,100,77,4.36,RU,1706721754
360,lethem,3.3803,-59.7968,35.3,41,79,5.0,GY,1706721754
